央视频道,#genre#
风云足球,http://113.95.138.226:8888/rtp/239.253.43.14:5146$1920×1080
风云音乐,http://113.95.138.226:8888/rtp/239.253.43.29:5146$1920×1080
风云音乐,http://113.95.138.226:8888/rtp/239.253.43.6:5146$1920×1080
世界地理,http://113.95.138.226:8888/rtp/239.253.43.24:5146$1920×1080
世界地理,http://113.95.138.226:8888/rtp/239.253.43.7:5146$1920×1080
电视指南,http://113.95.138.226:8888/rtp/239.253.43.10:5146$1920×1080
电视指南,http://113.95.138.226:8888/rtp/239.253.43.19:5146$1920×1080
怀旧剧场,http://113.95.138.226:8888/rtp/239.253.43.25:5146$1920×1080
怀旧剧场,http://113.95.138.226:8888/rtp/239.253.43.5:5146$1920×1080
兵器科技,http://113.95.138.226:8888/rtp/239.253.43.9:5146$1920×1080
兵器科技,http://113.95.138.226:8888/rtp/239.253.43.18:5146$1920×1080
女性时尚,http://113.95.138.226:8888/rtp/239.253.43.8:5146$1920×1080
女性时尚,http://113.95.138.226:8888/rtp/239.253.43.23:5146$1920×1080
高尔夫网球,http://113.95.138.226:8888/rtp/239.253.43.22:5146$1920×1080
高尔夫网球,http://113.95.138.226:8888/rtp/239.253.43.12:5146$1920×1080
央视台球,http://113.95.138.226:8888/rtp/239.253.43.21:5146$1920×1080
央视台球,http://113.95.138.226:8888/rtp/239.253.43.11:5146$1920×1080
央视文化精品,http://113.95.138.226:8888/rtp/239.253.43.13:5146$1920×1080
央视文化精品,http://113.95.138.226:8888/rtp/239.253.43.27:5146$1920×1080
天元围棋,http://113.95.138.226:8888/rtp/239.253.43.98:5146$1920×1080
中学生,http://113.95.138.226:8888/rtp/239.77.1.195:5146$720×576
卫生健康,http://113.95.138.226:8888/rtp/239.77.0.212:5146$1920×1080
茶频道,http://113.95.138.226:8888/rtp/239.77.0.15:5146$1920×1080
书法频道,http://113.95.138.226:8888/rtp/239.77.1.115:5146$720×576
金鹰纪实,http://113.95.138.226:8888/rtp/239.77.1.217:5146$1920×1080
金鹰纪实,http://113.95.138.226:8888/rtp/239.77.0.160:5146$1920×1080
发现之旅,http://113.95.138.226:8888/rtp/239.253.43.127:5146$720×576
发现之旅,http://113.95.138.226:8888/rtp/239.77.1.112:5146$720×576
环球奇观,http://113.95.138.226:8888/rtp/239.77.1.198:5146$720×576
环球奇观,http://113.95.138.226:8888/rtp/239.253.43.126:5146$720×576
老故事,http://113.95.138.226:8888/rtp/239.77.0.220:5146$720×576
老故事,http://113.95.138.226:8888/rtp/239.77.1.197:5146$720×576
快乐垂钓,http://113.95.138.226:8888/rtp/239.77.0.145:5146$1920×1080
中国天气,http://113.95.138.226:8888/rtp/239.77.1.2:5146$1920×1080
4K节目,#genre#
CCTV4K,http://113.95.138.226:8888/rtp/239.77.1.180:5146$3840×2160
CCTV4K,http://113.95.138.226:8888/rtp/239.77.0.194:5146$3840×2160
北京卫视4K,http://113.95.138.226:8888/rtp/239.77.0.3:5146$3840×2160
北京卫视4K,http://113.95.138.226:8888/rtp/239.77.0.2:5146$3840×2160
北京卫视4K,http://113.95.138.226:8888/rtp/239.77.1.13:5146$3840×2160
北京卫视4K,http://113.95.138.226:8888/rtp/239.77.0.153:5146$3840×2160
北京卫视4K,http://113.95.138.226:8888/rtp/239.77.0.233:5146$3840×2160
东方卫视4K,http://113.95.138.226:8888/rtp/239.77.0.59:5146$3840×2160
广东卫视4K,http://113.95.138.226:8888/rtp/239.77.0.27:5146$3840×2160
广东卫视4K,http://113.95.138.226:8888/rtp/239.77.0.65:5146$3840×2160
广东卫视4K,http://113.95.138.226:8888/rtp/239.77.0.66:5146$3840×2160
深圳卫视4K,http://113.95.138.226:8888/rtp/239.77.1.14:5146$3840×2160
深圳卫视4K,http://113.95.138.226:8888/rtp/239.77.0.67:5146$3840×2160
湖南卫视4K,http://113.95.138.226:8888/rtp/239.77.0.56:5146$3840×2160
山东卫视4K,http://113.95.138.226:8888/rtp/239.77.0.61:5146$3840×2160
四川卫视4K,http://113.95.138.226:8888/rtp/239.77.0.60:5146$3840×2160
