央视上海移动IPV6,#genre#
CCTV3_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/6000000001000022313/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022313&livemode=1&stbId=m
CCTV3_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000011218/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=m
CCTV3_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000013682/1.m3u8?channel-id=ystenlive&Contentid=1000000001000013682&livemode=1&stbId=m
CCTV3_5.5M1080HEVC,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=m
CCTV4_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000005000030093/1.m3u8?channel-id=bestzb&Contentid=5000000005000030093&livemode=1&stbId=m
CCTV4_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031102/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=m
CCTV4_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000002000031664/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=m
CCTV4_5.5M1080HEVC,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=m
CCTV5_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000008885/1.m3u8?channel-id=bestzb&Contentid=5000000004000008885&livemode=1&stbId=m
CCTV5_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000016619/1.m3u8?channel-id=bestzb&Contentid=5000000010000016619&livemode=1&stbId=m
CCTV5_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/6000000001000016431/1.m3u8?channel-id=wasusyt&Contentid=6000000001000016431&livemode=1&stbId=m
CCTV5_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000004794/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1&stbId=m
CCTV5_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000003000030177/1.m3u8?channel-id=ystenlive&Contentid=1000000003000030177&livemode=1&stbId=m
CCTV5_12M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000005000025222/1.m3u8?channel-id=ystenlive&Contentid=1000000005000025222&livemode=1&stbId=m
CCTV5_5.5M1080HEVC,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000005000265005/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=m
CCTV5+_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031127/1.m3u8?channel-id=bestzb&Contentid=5000000011000031127&livemode=1&stbId=m
CCTV5+_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/6000000001000015875/1.m3u8?channel-id=wasusyt&Contentid=6000000001000015875&livemode=1&stbId=m
CCTV5+_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000018504/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018504&livemode=1&stbId=m
CCTV5+_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000020505/1.m3u8?channel-id=ystenlive&Contentid=1000000001000020505&livemode=1&stbId=m
CCTV5+_5.5M1080HEVC,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000005000265016/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=m
CCTV6_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000008886/1.m3u8?channel-id=bestzb&Contentid=5000000004000008886&livemode=1&stbId=m
CCTV6_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000018433/1.m3u8?channel-id=bestzb&Contentid=5000000010000018433&livemode=1&stbId=m
CCTV6_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/6000000001000004574/1.m3u8?channel-id=wasusyt&Contentid=6000000001000004574&livemode=1&stbId=m
CCTV6_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000001737/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=m
CCTV6_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000016466/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=m
CCTV6_5.5M1080HEVC,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000005000265006/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265006&livemode=1&stbId=m
CCTV7_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000005000026715/1.m3u8?channel-id=bestzb&Contentid=5000000005000026715&livemode=1&stbId=m
